"Saxonszám";"Fajta";"Gyartmány";"Tipus";"Funkció";"Különleges tulajdonság";"Felszereltség";"Megjegyzés";"Üzemmód";"Teherbírás";"Emelő magasság";"Első kerék";"Hátsó kerék";"Motor";"Akkumulátor";"Villák";"Tárolás";"Tárolás";"Mező";"Mező";"Eladási ár";"Eladó neve";"Bizonylatszám";"Vételi ár";"Category"
"W-0001";"ELLENSÚLY";"KOMATSU";"FD35T-8 LEO";" n/a";;"NO";;"FŐDARAB";3500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1350;;;0;"Karosszéria elemek"
"W-0002";"ELLENSÚLY";"MITSUBISHI";"FD18K";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0003";"ELLENSÚLY";"KOMATSU";"FD18T-15";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0004";"ELLENSÚLY";"CATERPILLAR";"DP18N";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0005";"ELLENSÚLY";"KOMATSU";"FD18T-15";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0006";"ELLENSÚLY";"KOMATSU";"FD15T-15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0007";"ELLENSÚLY";"CATERPILLAR";"DP18N";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0008";"ELLENSÚLY";"KOMATSU";"FD15T-15";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0009";"ELLENSÚLY";"MITSUBISHI";"FD18N";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0010";"ELLENSÚLY";"KOMATSU";"FD30T-11";" n/a";;"NO";;"FŐDARAB";3000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0011";"ELLENSÚLY";"KOMATSU";"FD25T-11";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0012";"ELLENSÚLY";"MITSUBISHI";"FD15 TAC";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0013";"ELLENSÚLY";"KOMATSU";"FD10T-17 LEO";" n/a";;"NO";;"FŐDARAB";1000;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;600;;;0;"Karosszéria elemek"
"W-0014";"ELLENSÚLY";"TOYOTA";"5FD18";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0015";"ELLENSÚLY";"TOYOTA";"5FD18";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0016";"ELLENSÚLY";"CATERPILLAR";"DP15T";" n/a";;"NO";;"FŐDARAB";1500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
"W-0017";"ELLENSÚLY";"KOMATSU";"FD25T-10";" n/a";;"NO";;"FŐDARAB";2500;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;800;;;0;"Karosszéria elemek"
"W-0018";"ELLENSÚLY";"KOMATSU";"FD18T-1E";" n/a";;"NO";;"FŐDARAB";1800;0;;;;;"NO";"Vecsés 2";"H.SZ.T. 2.";;;1000;;;0;"Karosszéria elemek"
