;V-0286;TOYOTA;2FG25 /40/;SOLD;;;;;;;
;V-0453;LINDE;E15;V2;CS1;O;42;A;M-0484;;
;V-0478;STILL;R60-18;V2;HSZTJ;;8;D;M-0891;;
;V-0482;KOMATSU;SG07L-3;V2;CS1;O;29;B;;;
;V-0507;TOYOTA;2FG05 /CLUTCH/;V1;BE;BTE;4;E;;;
;V-0544;KOMATSU;FB10EXF-8;V1;BE;BFE;13;C;;;
;V-0565;STILL;EGU20 short;V2;CS1;O;50;C;;;
;V-0566;STILL;EGU20 short;V2;CS1;O;50;C;;;
;V-0567;STILL;EGU20 short;V2;CS1;O;50;C;;;
;V-0573;JUNGHEINRICH;HC12;V1;SZ;RIR;;;;;
;V-0591;KOMATSU;FB10EX-10;V2;CS1;O;30;A;;;
;V-0627;LINDE;T20B;SOLD;;;;;;;
;V-0629;MIC;A20;V2;CS1;O;45;B;;;
;V-0640;JUNGHEINRICH;ELE16-20 /INITIAL LIFT/;V1;BE;RTE;4;B;;;
;V-0694;JUNGHEINRICH;EFGDH15GE115-290Z;V2;CS1;O;44;A;M-0661;;
;V-0698;JUNGHEINRICH;EJC16G;V1;SZ;SAT;6;F;;;
;V-0722;JUNGHEINRICH;ERC14;V2;HSZTJ;;5;C;M-0604;;
;V-0724;JUNGHEINRICH;ERC14;V2;HSZTJ;;4;C;M-0602;;
;V-0725;JUNGHEINRICH;ERC14;V2;HSZTJ;;4;C;M-0603;;
;V-0728;LINDE;L10 /379/ WIDE /USA STANDART/;V2;CS1;O;49;C;;;
;V-0748;KOMATSU;FB13M-2;V2;CS1;O;43;A;;;
;V-0750;KOMATSU;FB13M-3;V2;CS1;O;43;A;M-0437;;
;V-0757;KOMATSU;FB15RL-8;V2;CS2;;18;J;M-0649;;
;V-0764;LINDE;E15;V2;CS1;O;41;A;M-0457;;
;V-0766;KOMATSU;FG35ZT-7 LEO;V2;CS1;H;28;C;;;
;V-0799;JUNGHEINRICH;EJD20-3;V2;CS1;O;40;C;;;
;V-0800;KOMATSU;FB13M-2;V1;BE;BFE;7;C;M-0407;;
;V-0806;JUNGHEINRICH;EJC16;V2;CS1;O;39;C;;;
;V-0807;ATLET;200TLL;V2;CS1;O;45;C;;;
;V-0808;AICHI;EDP 2001-P Long;V2;CS1;O;50;A;;;
;V-0809;JUNGHEINRICH;EJE20;V2;CS1;O;45;C;;;
;V-0816;JUNGHEINRICH;EJC12;V2;CS1;O;40;C;;;
;V-0838;LINDE;T18;V2;CS1;O;48;C;;;
;V-0840;LINDE;T20;V2;CS1;O;48;C;;;
;V-0875;KOMATSU;FB15-5;V2;HSZTJ;;8;E;M-0298;;
;V-0895;KOMATSU;FB18M-3 /DEFECT NOT WORKING/;V2;CS1;O;42;A;;;
;V-0923;Z  SAXON RECOND;MOBILE RAMP !NOT FOR SALE!;V2;BEJ;;;;;;
;V-0962;STEINBOCK BOSS;WP12;V2;CS1;O;44;B;;;
;V-0970;JUNGHEINRICH;EJC16G;V2;CS1;O;39;B;M-0176;;
